Interface,IP Address,Status,Protocol,Method,Interface is OK
GigabitEthernet1,10.11.99.11,up,up,TFTP,YES
GigabitEthernet2,unassigned,up,up,unset,YES
GigabitEthernet3,unassigned,up,up,unset,YES
GigabitEthernet4,unassigned,up,up,unset,YES
GigabitEthernet5,unassigned,administratively down,down,unset,YES
GigabitEthernet6,unassigned,administratively down,down,unset,YES
GigabitEthernet7,unassigned,administratively down,down,unset,YES
GigabitEthernet8,unassigned,administratively down,down,unset,YES
GigabitEthernet9,unassigned,administratively down,down,unset,YES
GigabitEthernet10,10.11.12.11,up,up,TFTP,YES
GigabitEthernet11,unassigned,administratively down,down,unset,YES
GigabitEthernet12,unassigned,administratively down,down,unset,YES
GigabitEthernet13,unassigned,administratively down,down,unset,YES
GigabitEthernet14,unassigned,administratively down,down,unset,YES
GigabitEthernet15,unassigned,administratively down,down,unset,YES
GigabitEthernet16,unassigned,administratively down,down,unset,YES
GigabitEthernet17,unassigned,administratively down,down,unset,YES
GigabitEthernet18,unassigned,administratively down,down,unset,YES
GigabitEthernet19,unassigned,administratively down,down,unset,YES
GigabitEthernet20,unassigned,administratively down,down,unset,YES
GigabitEthernet21,unassigned,administratively down,down,unset,YES
GigabitEthernet22,unassigned,administratively down,down,unset,YES
GigabitEthernet23,unassigned,administratively down,down,unset,YES
GigabitEthernet24,unassigned,administratively down,down,unset,YES
Loopback0,10.255.255.11,up,up,TFTP,YES
Port-channel6,unassigned,up,up,unset,YES
