Interface,Description,Type,Connected,Enabled,Bandwidth,Port Speed,Port Duplex,IPv4 Address,Line Protocol,Operational Status,MAC Address,Media Type,Delay,Encapsulation,Keepalive,MTU,Port Channel Member,Port Channel Member Interface,Input CRC Errors,Input Errors,Output Errors,Input Packets,Output Packets,QoS Strategy,Input Queue Drops,Total Output Drops
GigabitEthernet17,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0010,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet18,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0011,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet19,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0012,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet20,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0013,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet21,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0014,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet22,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0015,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet23,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0016,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
GigabitEthernet24,No Description,CSR vNIC,Not Connected,False,1000000,1000mbps,full,No IP Address,down,down,5006.0004.0017,Virtual,10,arpa,10,1500,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
Loopback0,No Description,Loopback,Not Connected,True,8000000,N/A,N/A,No IP Address,up,up,,N/A,5000,loopback,10,1514,False,Stand Alone Port,0,0,0,0,0,fifo,0,0
Port-channel6,No Description,GEChannel,Not Connected,True,1000000,N/A,N/A,No IP Address,up,up,001e.bde0.6ac5,N/A,10,arpa,10,1500,True,GigabitEthernet9,0,0,0,0,0,fifo,0,0
