VRF,Address Family,Instance,Area,LSA Type,LSA,Age,Link Count,Check Sum,Sequence Number
default,ipv4,1,0.0.0.0,1,10.255.255.11,635,2,0x00CDBB,0x80000011
default,ipv4,1,0.0.0.0,1,10.255.255.12,644,3,0x0035E4,0x8000000B
default,ipv4,1,0.0.0.0,1,10.255.255.13,577,2,0x00BCBC,0x8000000E
default,ipv4,1,0.0.0.0,1,10.255.255.14,1989,2,0x00D63D,0x8000000D
default,ipv4,1,0.0.0.0,1,10.255.255.15,2037,3,0x000CCB,0x80000009
default,ipv4,1,0.0.0.0,1,10.255.255.16,461,1,0x003F48,0x8000000A
default,ipv4,1,0.0.0.0,1,10.255.255.99,2035,6,0x001482,0x8000000C
default,ipv4,1,0.0.0.0,2,10.11.12.11,889,,0x00C6FF,0x80000008
default,ipv4,1,0.0.0.0,2,10.11.99.11,635,,0x00CC4B,0x80000008
default,ipv4,1,0.0.0.0,2,10.12.13.12,886,,0x00B709,0x80000008
default,ipv4,1,0.0.0.0,2,10.12.99.12,644,,0x00BA59,0x80000008
default,ipv4,1,0.0.0.0,2,10.13.99.13,577,,0x00A867,0x80000008
default,ipv4,1,0.0.0.0,2,10.14.15.14,1989,,0x009B1A,0x80000007
default,ipv4,1,0.0.0.0,2,10.14.99.99,760,,0x004120,0x80000008
default,ipv4,1,0.0.0.0,2,10.15.99.99,2035,,0x00411F,0x80000007
default,ipv4,1,0.0.0.0,2,10.16.99.99,760,,0x003D20,0x80000008
default,ipv4,2,0.0.0.0,1,10.2.255.16,523,1,0x00FB0B,0x80000030
default,ipv4,2,0.0.0.0,3,10.2.255.1,1540,,0x008CF7,0x8000000E
default,ipv4,2,0.0.0.0,3,10.2.255.2,1540,,0x008201,0x8000000E
default,ipv4,2,0.0.0.0,3,172.17.1.0,1790,,0x004E67,0x8000002C
default,ipv4,2,0.0.0.0,3,172.17.2.0,1790,,0x004371,0x8000002C
default,ipv4,2,0.0.0.0,3,10.4.255.2,1790,3489680928,0x006B31,0x8000002C
default,ipv4,2,0.0.0.0,3,10.4.255.3,1790,3489680928,0x00613A,0x8000002C
